Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
captopril PC3 DOWN	35/856	1.5092251922162557E-23	1.4473469593353893E-20	0	0	13.120702526423324	689.4648491361817	FKBP14;ABHD2;USP34;PLOD2;ZNF22;BRCC3;SMC3;TTF1;ZNF24;DCAF7;BICD2;UBE2J1;DCAF16;DSTYK;SPTLC2;RAD21;FAM120A;SPOP;UTP20;KPNA3;MYH10;ZKSCAN1;MED1;YIPF5;RECQL;M6PR;PRPF40A;SMAD5;OXR1;DYNC1LI2;ELF1;SERBP1;TFAM;PKP4;OSBPL1A
neostigmine bromide PC3 DOWN	29/650	2.080406141247216E-20	9.975547447280401E-18	0	0	13.241877427299421	600.1104801074069	FKBP14;ABHD2;USP34;ZNF22;BRCC3;SMC3;ZNF24;DCAF7;BICD2;UBE2J1;DCAF16;RAD21;FAM120A;SPOP;KPNA3;MYH10;ZKSCAN1;MED1;YIPF5;RECQL;M6PR;PRPF40A;SMAD5;OXR1;DYNC1LI2;ELF1;TFAM;PKP4;OSBPL1A
etifenin PC3 DOWN	28/609	4.854330679508174E-20	1.551767707216113E-17	0	0	13.495372795529946	600.1639332480183	FKBP14;ABHD2;USP34;ZNF22;BRCC3;SMC3;TTF1;ZNF24;DCAF7;BICD2;DCAF16;RAD21;FAM120A;SPOP;KPNA3;MYH10;ZKSCAN1;MED1;YIPF5;M6PR;PRPF40A;SMAD5;OXR1;DYNC1LI2;ELF1;TFAM;PKP4;OSBPL1A
hesperetin PC3 DOWN	12/237	1.7011441860346734E-9	4.0784931860181294E-7	0	0	12.346980392156862	249.30979299149377	DCAF16;ANP32A;RYK;RAD21;YIPF5;M6PR;TLK2;PLOD2;ZNF22;BRCC3;SMAD5;TSN
glibenclamide HL60 DOWN	25/1333	3.0189036049071653E-9	4.864951365063376E-7	0	0	4.936236408426775	96.84092271409577	HIP1;YWHAB;ZNF22;WDR61;SMC3;TTF1;ZNF24;BICD2;UBE2J1;PPP2R5E;RAD21;BUB3;BRD7;FBXO9;BRAP;RFC1;M6PR;PRPF40A;OXR1;TSN;ELF1;TFAM;YME1L1;PKP4;RAD1
fulvestrant MCF7 DOWN	11/197	3.0437651919061786E-9	4.864951365063376E-7	0	0	13.5588272068017	265.8909138196987	MED1;DYNC1LI2;ELF1;ABHD2;PRPF40A;SMC3;TTF1;ZNF24;KPNA3;DCAF7;ZKSCAN1
irinotecan MCF7 DOWN	24/1272	6.0009907343989284E-9	8.221357306126532E-7	0	0	4.914383561643835	93.0358722828523	RFC1;RYK;USP34;HDGFRP3;RSF1;SMC3;NLK;OXR1;UBE2J1;ELF1;RAD50;SPTLC2;NEMF;PPP2R5E;TLK2;SPOP;PKP4;UTP20;INTS7;BUB3;ZMYND11;BRD7;KPNA3;PTPN2
lobeline HL60 DOWN	26/1510	8.026323835057674E-9	9.621555697275386E-7	0	0	4.545138757070727	84.72383725090722	HIP1;USP34;ZNF22;SMC3;TTF1;ZNF24;BICD2;UBE2J1;PPP2R5E;RAD21;BUB3;KPNA3;ZKSCAN1;FBXO9;GALNT7;RYK;RECQL;M6PR;PRPF40A;OXR1;LSG1;SERBP1;TFAM;YME1L1;INTS7;RAD1
8-azaguanine HL60 DOWN	20/897	9.060816571506439E-9	9.654803435638527E-7	0	0	5.634912408002488	104.35467050087719	GALNT7;ANP32A;RYK;USP34;RECQL;ZNF22;WDR61;BRCC3;ERLIN2;SMC3;BICD2;DCAF16;RAD50;SERBP1;PKP4;INTS7;BUB3;OSBPL1A;KPNA3;APPL1
danazol HL60 DOWN	23/1233	1.6550211281851527E-8	1.5871652619295616E-6	0	0	4.801641724368997	86.03037600798206	BRAP;GALNT7;RYK;M6PR;PRPF40A;BRCC3;SMC3;TTF1;ZNF24;BICD2;UBE2J1;DCAF16;LSG1;ELF1;ZC3H7A;TFAM;PDSS2;PKP4;INTS7;RAD1;ZMYND11;KPNA3;FBXO9
