Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
digoxin MCF7 UP	10/324	2.6660797168055638E-6	0.002866035695565981	0	0	7.517842068912593	96.49076196122674	EGR1;RARG;ZFP36;SRF;PCIF1;FOSB;DUSP8;JUNB;IER2;BRD4
SELENIUM CTD 00006731	21/1559	7.381475660101267E-6	0.003831721850151179	0	0	3.483501300390117	41.16292195473752	SF3B4;RANBP3;MIIP;RAD23A;EMP3;DUSP8;ADAP1;IL17RC;RELA;PEX14;MLF2;BAG6;PPP4C;PPP2R4;C7ORF43;ABHD17A;LMNA;ZNF358;ZNF500;PAK4;NFKBIB
irinotecan MCF7 UP	13/671	1.3371627013615021E-5	0.003831721850151179	0	0	4.753742401215805	53.34828217535207	EGR1;SRF;EMP3;NR1D1;DUSP8;LMNA;ATG2A;ZNF500;APBA3;JUNB;CCDC71;IER2;ZNF574
bepridil MCF7 UP	4/32	1.425756967498113E-5	0.003831721850151179	0	0	31.908507223113965	356.0422260152756	EGR1;ZFP36;FOSB;IER2
luteolin CTD 00007430	6/120	2.049050291711656E-5	0.004405458127180061	0	0	11.973986690865093	129.26576066323597	EGR1;FOSB;NR1D1;JUNB;RELA;NFKBIB
diazinon CTD 00005790	15/1027	7.456868823104555E-5	0.012713771525255045	0	0	3.590567041653998	34.123994669667255	EGR1;KDELR1;SRF;MEPCE;SEMA4C;AUP1;MLF2;DOK1;PPP4C;TRIM3;LMNA;LPPR2;CAMTA2;S1PR2;JUNB
Cylindrospermopsin CTD 00003136	10/483	8.278734946677703E-5	0.012713771525255045	0	0	4.950202501337273	46.52811805541003	EGR1;ZFP36;FOSB;EPS15L1;NR1D1;JUNB;IER2;RELA;PEX14;NFKBIB
ouabain MCF7 UP	7/246	1.5079758070120678E-4	0.018378820621964515	0	0	6.698258246570011	58.941806690650466	EGR1;RARG;ZFP36;DUSP8;JUNB;IER2;BRD4
DL-Homocysteine CTD 00006102	4/59	1.6395679877830954E-4	0.018378820621964515	0	0	16.22226762002043	141.3917854264678	RAB1B;COMT;RELA;NFKBIB
ciclopirox HL60 UP	6/177	1.7794046305520306E-4	0.018378820621964515	0	0	7.959669288162936	68.72427447873395	EGR1;ZFP36;FOSB;DUSP8;JUNB;IER2
digoxigenin MCF7 UP	7/255	1.8806235055033454E-4	0.018378820621964515	0	0	6.452222430607652	55.35191928642574	EGR1;RARG;ZFP36;PCIF1;DUSP8;JUNB;IER2
fendiline MCF7 UP	5/117	2.168066476028657E-4	0.019422262181090052	0	0	10.042106331168831	84.72027652265076	EGR1;ZFP36;FOSB;JUNB;IER2
POTASSIUM DICHROMATE CTD 00006598	10/556	2.595559682260804E-4	0.021463281987925877	0	0	4.272253850567104	35.2740271234629	KANK2;EGR1;MAPKAPK2;LMNA;SAMD4B;COMT;JUNB;FAM127A;IER2;RELA
azacyclonol MCF7 UP	5/126	3.058214761634891E-4	0.023482720491125056	0	0	9.290946656649137	75.18706978579735	EGR1;ZFP36;FOSB;JUNB;IER2
DEOXYNIVALENOL CTD 00000341	5/130	3.5325573946469837E-4	0.02424025415712051	0	0	8.991818181818182	71.46983290529344	EGR1;NR1D1;DUSP8;RELA;NFKBIB
primaquine HL60 UP	3/30	3.607851781524913E-4	0.02424025415712051	0	0	24.54320987654321	194.55961688941923	EGR1;FOSB;DUSP8
anisomycin MCF7 UP	11/718	4.96305426090034E-4	0.03133352390393984	0	0	3.6430123848621796	27.71720049924832	EGR1;RARG;ZFP36;RRNAD1;C7ORF43;SRF;LINC00963;FOSB;DUSP8;JUNB;IER2
deptropine HL60 UP	3/34	5.24654353740388E-4	0.03133352390393984	0	0	21.372043010752687	161.41814422645928	ZNF500;DUSP8;BRD4
prenylamine MCF7 UP	5/145	5.821429665777922E-4	0.0329370362669014	0	0	8.022321428571429	59.756623681092755	EGR1;ZFP36;FOSB;JUNB;IER2
felodipine MCF7 UP	4/87	7.262143212093729E-4	0.03850933225263872	0	0	10.734533640178693	77.5856171446848	EGR1;ZFP36;JUNB;IER2
Zoledronic acid CTD 00003127	8/425	8.203843119384782E-4	0.03850933225263872	0	0	4.398927916490337	31.257627735210814	RNF167;EGR1;SPRYD3;LMNA;SOX13;EMP3;APBA3;UNC13D
digitoxigenin MCF7 UP	7/328	8.491070652247247E-4	0.03850933225263872	0	0	4.966384119394335	35.118917534698376	EGR1;RARG;ZFP36;PCIF1;DUSP8;JUNB;IER2
pimozide MCF7 UP	4/91	8.597432316868181E-4	0.03850933225263872	0	0	10.238925481079685	72.27531334183712	EGR1;ZFP36;JUNB;IER2
sulpiride PC3 UP	4/91	8.597432316868181E-4	0.03850933225263872	0	0	10.238925481079685	72.27531334183712	PPP2R4;PRKCSH;RAD23A;BRD4
mebendazole HL60 UP	7/346	0.0011577228197568836	0.049782081249545994	0	0	4.698360430815669	31.767025741800698	EGR1;ZFP36;ATG2A;EMP3;ADAP1;JUNB;IER2
astemizole MCF7 UP	5/173	0.0012857756458951504	0.053161877666818715	0	0	6.67579816017316	44.436736992317506	EGR1;ZFP36;FOSB;JUNB;IER2
helveticoside MCF7 UP	7/355	0.0013419439845846809	0.05342925123809378	0	0	4.574746057203956	30.25570513039483	EGR1;RARG;ZFP36;PCIF1;DUSP8;JUNB;IER2
calmidazolium MCF7 UP	5/182	0.0016083079825229484	0.06174753861472035	0	0	6.333461736004109	40.74045239542216	EGR1;ZFP36;DUSP8;JUNB;IER2
terfenadine MCF7 UP	5/184	0.00168738521770432	0.06254962444938428	0	0	6.262061960385982	39.98060522180342	EGR1;ZFP36;FOSB;JUNB;IER2
