gene,logFC,pval,abs_logFC
224730_at,-2.36224152116353,2.55228030846045e-28,2.36224152116353
202081_at,2.018263043732942,3.11797799830639e-24,2.018263043732942
209349_at,-1.6475250040886262,6.1522852788253935e-24,1.6475250040886262
228266_s_at,-2.1789272838850984,7.339580497166323e-23,2.1789272838850984
225420_at,-2.1424665581184303,1.0596611578826643e-22,2.1424665581184303
236268_at,-2.3684702481294124,4.168856050457051e-22,2.3684702481294124
217027_x_at,-1.4007771137643141,5.5585895819818545e-22,1.4007771137643141
1558028_x_at,-2.934141368560394,9.36090399204821e-22,2.934141368560394
201473_at,2.9977851811694105,1.05902279387849e-21,2.9977851811694105
213067_at,-3.205558587232942,1.3929891729906314e-21,3.205558587232942
203128_at,-2.395529160235295,1.7233105736692065e-21,2.395529160235295
228628_at,-2.331972595816863,3.6336367953881996e-21,2.331972595816863
222538_s_at,-2.374305592200783,4.5564520113464775e-21,2.374305592200783
201927_s_at,-3.2654002904211756,5.386582345748931e-21,3.2654002904211756
222613_at,-1.664642390488238,1.103744785855491e-20,1.664642390488238
212917_x_at,-1.7327619092317654,1.1895881978600193e-20,1.7327619092317654
225576_at,-1.3891009280349005,1.2969941396893088e-20,1.3891009280349005
205425_at,-2.667196238000784,1.506987703086213e-20,2.667196238000784
225452_at,-2.1328411893392154,2.0675349009970388e-20,2.1328411893392154
226897_s_at,-2.071201078675294,2.0814487381969483e-20,2.071201078675294
212702_s_at,-1.7936139484015676,2.366598772088225e-20,1.7936139484015676
224883_at,-2.245450535119998,2.403869094435997e-20,2.245450535119998
218318_s_at,-2.149302622405491,2.5441248593063317e-20,2.149302622405491
1557950_at,-2.198917966880785,4.117042092643866e-20,2.198917966880785
209257_s_at,-2.905855045723137,4.9006855932189407e-20,2.905855045723137
219717_at,-2.389645518952549,5.778278550743766e-20,2.389645518952549
63825_at,-2.033463780166274,7.44303311840021e-20,2.033463780166274
230228_at,1.7925652240054903,1.0907929776656166e-19,1.7925652240054903
216202_s_at,-2.047473624267057,1.1051928306514786e-19,2.047473624267057
224687_at,-1.5747698548356892,1.127520622195005e-19,1.5747698548356892
203176_s_at,-2.6580412154337267,1.2864657712794486e-19,2.6580412154337267
236160_at,-1.677006935439607,1.4137009693878206e-19,1.677006935439607
217717_s_at,-2.020761459624314,1.5769070070065147e-19,2.020761459624314
201515_s_at,-1.2816972385474479,2.0527231816060168e-19,1.2816972385474479
220038_at,-2.638337050222354,2.2109840729208485e-19,2.638337050222354
222786_at,1.7830511347403943,2.282751921705117e-19,1.7830511347403943
242617_at,-2.0105315028615696,2.329763337880096e-19,2.0105315028615696
224934_at,-1.6232128871607827,2.5420772672748696e-19,1.6232128871607827
232095_at,-2.092835195929019,2.642580030768819e-19,2.092835195929019
231913_s_at,-2.567949747590979,2.8211243130488375e-19,2.567949747590979
209669_s_at,-1.7345838872572532,3.0845912380167773e-19,1.7345838872572532
219307_at,-1.356628744042351,3.2152148794745076e-19,1.356628744042351
202768_at,4.9127042066047055,3.7144029316986342e-19,4.9127042066047055
222250_s_at,-1.8829732654462754,4.268662224928061e-19,1.8829732654462754
216304_x_at,-1.23621009710941,4.2998425607729323e-19,1.23621009710941
226315_at,-1.3418245831925484,4.374648012555799e-19,1.3418245831925484
242429_at,-1.9530304824058824,4.437155961420651e-19,1.9530304824058824
209725_at,-2.005292822900783,6.172483442480646e-19,2.005292822900783
218166_s_at,-1.8501530991823536,6.217876377159349e-19,1.8501530991823536
221068_at,1.2734215681321563,6.367726053812212e-19,1.2734215681321563
218006_s_at,-2.1800422094258822,6.9728602483305e-19,2.1800422094258822
203247_s_at,-2.111560930679607,9.248389208228164e-19,2.111560930679607
222587_s_at,-2.5351288457141177,1.0596978310530174e-18,2.5351288457141177
231955_s_at,-2.335542684221961,1.3553238183848377e-18,2.335542684221961
213501_at,-1.9848383763121564,1.4719073675504547e-18,1.9848383763121564
200900_s_at,-1.9637557056556858,1.695764761825741e-18,1.9637557056556858
201456_s_at,-2.004187528571374,1.949627851497555e-18,2.004187528571374
1557953_at,-2.2268953769678426,1.994248365997924e-18,2.2268953769678426
202365_at,-1.116692144315687,2.0123342877122096e-18,1.116692144315687
225730_s_at,-2.4332037301129414,2.134166884092526e-18,2.4332037301129414
235451_at,-1.3656974067803915,2.3956123124736595e-18,1.3656974067803915
228611_s_at,-1.5066997028223534,2.5546377228015065e-18,1.5066997028223534
1569578_at,2.3157456373117635,2.6144232292564965e-18,2.3157456373117635
224989_at,-1.9344270708466658,2.701126138541178e-18,1.9344270708466658
226768_at,1.8182887317215686,2.733770078738157e-18,1.8182887317215686
200767_s_at,-1.449108460620784,3.1095415852828165e-18,1.449108460620784
224956_at,-2.1638080080145103,3.1425358676792934e-18,2.1638080080145103
222684_s_at,-1.2713098715501978,3.329803940040059e-18,1.2713098715501978
224908_s_at,-2.243200449475686,3.3947794900628507e-18,2.243200449475686
212065_s_at,-1.9652656204196086,3.669802399478217e-18,1.9652656204196086
212997_s_at,-1.256017381247843,4.050387718121431e-18,1.256017381247843
209485_s_at,-2.495759716562743,4.089127259117695e-18,2.495759716562743
224614_at,-1.8394152777215682,4.811210050709268e-18,1.8394152777215682
225090_at,1.1990409344219612,4.935987438117592e-18,1.1990409344219612
213473_at,-1.3549233684317636,5.042092441352048e-18,1.3549233684317636
221542_s_at,-1.6562726532043142,5.3191576757374544e-18,1.6562726532043142
225718_at,-1.3750705477482352,5.338947055433673e-18,1.3750705477482352
221762_s_at,2.01259929819843,5.4511570492151115e-18,2.01259929819843
218197_s_at,-2.2654138424784325,5.645853186387378e-18,2.2654138424784325
223560_s_at,-1.4346938586337261,5.721079916877646e-18,1.4346938586337261
1566509_s_at,-2.043079270441173,5.744945601036893e-18,2.043079270441173
202137_s_at,-2.084762319732942,5.95958772183712e-18,2.084762319732942
202619_s_at,-2.42958588222902,6.012128176232904e-18,2.42958588222902
209085_x_at,-1.5578552508462753,6.071448387933601e-18,1.5578552508462753
221531_at,-1.8150334352654927,6.340783743592685e-18,1.8150334352654927
224812_at,-1.5230272964027467,6.4265092415086035e-18,1.5230272964027467
200607_s_at,-2.7300796367309808,6.672905125347576e-18,2.7300796367309808
224605_at,-1.6399969709968634,7.400098204909821e-18,1.6399969709968634
225623_at,-1.8232096886811755,7.643787489317458e-18,1.8232096886811755
223108_s_at,-0.9596209750847056,7.728143509369591e-18,0.9596209750847056
219390_at,-2.209994369413727,7.79914006763604e-18,2.209994369413727
221503_s_at,-2.1474737444792167,8.39538694442589e-18,2.1474737444792167
233080_s_at,-1.6569844820992152,8.589072564983554e-18,1.6569844820992152
238078_at,-1.7526355828019602,8.758188535606139e-18,1.7526355828019602
223200_s_at,-1.8130140604474496,9.0128772161787e-18,1.8130140604474496
204640_s_at,-1.2080278433756888,9.095074741960923e-18,1.2080278433756888
229322_at,-2.1641136965164707,9.141227046518081e-18,2.1641136965164707
224945_at,-1.2313711678898045,9.83475355195223e-18,1.2313711678898045
213137_s_at,-1.4262797251658847,9.837415234621413e-18,1.4262797251658847
222737_s_at,-1.9941731536396077,1.018137693303343e-17,1.9941731536396077
225164_s_at,-1.5218772098462736,1.0314211007749085e-17,1.5218772098462736
200037_s_at,-1.3608822435592156,1.0789995844941588e-17,1.3608822435592156
217826_s_at,-1.5231317964662754,1.2153098929426506e-17,1.5231317964662754
201043_s_at,-2.1419671623521586,1.2726934222872926e-17,2.1419671623521586
226502_at,-1.4655821989701954,1.2948040764093678e-17,1.4655821989701954
204461_x_at,-1.2229707677882349,1.3161987838545804e-17,1.2229707677882349
214663_at,-1.5711280075486274,1.3322196852236658e-17,1.5711280075486274
212420_at,-2.644720833765491,1.4004307984758386e-17,2.644720833765491
216976_s_at,-1.9601112701501968,1.4643394864100132e-17,1.9601112701501968
204772_s_at,-1.9823643711533325,1.4695253014276064e-17,1.9823643711533325
205169_at,-1.9197112209490186,1.4832039391908908e-17,1.9197112209490186
225493_at,-1.0755658641199997,1.5103968835882774e-17,1.0755658641199997
222775_s_at,-1.6870313705650979,1.516045824372693e-17,1.6870313705650979
224949_at,-2.1540848004776434,1.572982463581888e-17,2.1540848004776434
211955_at,-1.4211737191407847,1.6928511971754377e-17,1.4211737191407847
209258_s_at,-2.377547853146277,1.7568824061850108e-17,2.377547853146277
208995_s_at,-2.0206683905341167,1.7661556552257917e-17,2.0206683905341167
1560339_s_at,-0.8384934915890181,1.8661530734072934e-17,0.8384934915890181
213641_at,2.1208355202886287,1.8707505007883964e-17,2.1208355202886287
226052_at,1.1480852711474476,1.9154936754068082e-17,1.1480852711474476
205849_s_at,-0.8720130665137251,1.9937412724366553e-17,0.8720130665137251
226881_at,-1.4936844967999994,2.0318433151681912e-17,1.4936844967999994
223248_at,-1.713864320809412,2.056950395115081e-17,1.713864320809412
219362_at,-1.5088896018992157,2.071213503576735e-17,1.5088896018992157
202853_s_at,-1.2941419059870594,2.0727914994801116e-17,1.2941419059870594
212591_at,-1.5636054508694137,2.0891588697875473e-17,1.5636054508694137
