k,mean_auc,std_auc
2,0.8990476190476191,0.10935390548119862
3,0.8990476190476191,0.10935390548119862
4,0.8990476190476191,0.10935390548119862
5,0.9196825396825398,0.07866100393418897
6,0.9330158730158731,0.06464352704106885
7,0.9476190476190476,0.047236559114808556
8,0.9476190476190476,0.047236559114808556
9,0.9476190476190476,0.047236559114808556
10,0.9476190476190476,0.047236559114808556
11,0.9476190476190476,0.047236559114808556
12,0.9476190476190476,0.047236559114808556
13,0.9476190476190476,0.047236559114808556
14,0.9476190476190476,0.047236559114808556
