sig_id,drug,pert_id,similarity_scores
CPC016_NEU_24H:BRD-K35708212-331-03-1:10,ouabain,BRD-K35708212-331-03-1,0.18
CVD001_HEPG2_6H:BRD-K06426971-001-01-9:2.5,ryuvidine,BRD-K06426971-001-01-9,0.14
CPC018_HT29_6H:BRD-K84595254-001-03-0:10,strophanthidin,BRD-K84595254-001-03-0,0.12
CPC014_HT29_6H:BRD-A80960055-001-01-7:10,celastrol,BRD-A80960055-001-01-7,0.12
CPC006_VCAP_6H:BRD-K01877528-001-01-6:10,TL-HRAS-61,BRD-K01877528-001-01-6,0.12
CPC014_A375_6H:BRD-K80622725-001-10-2:10,STK-397047,BRD-K80622725-001-10-2,0.12
CPC010_MCF7_6H:BRD-K53932786-001-08-8:10,BRD-K53932786,BRD-K53932786-001-08-8,0.12
CPC013_PC3_6H:BRD-K83643280-001-01-1:10,BG-FA-0953,BRD-K83643280-001-01-1,0.12
CVD001_HEPG2_6H:BRD-K06426971-001-01-9:10,ryuvidine,BRD-K06426971-001-01-9,0.12
CPC016_NEU_24H:BRD-K80348542-001-01-4:10,cephaeline,BRD-K80348542-001-01-4,0.12
CPC006_PL21_6H:BRD-A79465854-001-01-3:10,auranofin,BRD-A79465854-001-01-3,0.12
CPC015_MCF7_6H:BRD-K19227686-001-12-9:10,phenolphthalein,BRD-K19227686-001-12-9,0.12
CPC006_A673_6H:BRD-K76703230-001-01-3:0.31,YM-155,BRD-K76703230-001-01-3,0.12
CPC014_HEPG2_6H:BRD-A11007541-003-01-9:10,BCI-hydrochloride,BRD-A11007541-003-01-9,0.12
CPC018_MCF7_6H:BRD-A71459254-001-02-8:10,cymarin,BRD-A71459254-001-02-8,0.12
CPC019_A549_6H:BRD-K98824517-001-06-4:10,BRD-K98824517,BRD-K98824517-001-06-4,0.12
CPC008_MCF7_6H:BRD-K64822626-001-03-3:10,KU-C104135,BRD-K64822626-001-03-3,0.12
CPC006_HCT116_6H:BRD-K69840642-001-01-4:10,ISOX,BRD-K69840642-001-01-4,0.12
LJP001_MDAMB231_6H:BRD-K99252563-001-01-1:2,QL-XII-47,BRD-K99252563-001-01-1,0.12
CPC005_HA1E_6H:BRD-K47150025-001-01-2:10,KI-8751,BRD-K47150025-001-01-2,0.12
CPC004_A375_6H:BRD-A34806832-001-02-7:10,proscillaridin,BRD-A34806832-001-02-7,0.12
CPC004_HCC515_24H:BRD-A34806832-001-02-7:10,proscillaridin,BRD-A34806832-001-02-7,0.12
CPC017_PHH_24H:BRD-K76674262-001-01-7:10,homoharringtonine,BRD-K76674262-001-01-7,0.12
CPC010_A375_6H:BRD-A24643465-001-05-3:10,homoharringtonine,BRD-A24643465-001-05-3,0.12
CPC006_HT29_6H:BRD-A67788537-001-01-7:120,salermide,BRD-A67788537-001-01-7,0.12
MUC.CP003_MCF7_6H:BRD-A52650764-001-01-0:10,ingenol,BRD-A52650764-001-01-0,0.12
CPC014_A549_24H:BRD-K67506692-001-07-9:10,tyrphostin-AG-126,BRD-K67506692-001-07-9,0.1
CPC002_HA1E_6H:BRD-A80502530-001-01-2:10,cinobufagin,BRD-A80502530-001-01-2,0.1
CPC013_MCF7_24H:BRD-K80786583-001-01-5:10,BRD-K80786583,BRD-K80786583-001-01-5,0.1
CPC002_HCC515_24H:BRD-K80348542-001-01-4:10,cephaeline,BRD-K80348542-001-01-4,0.1
CPC013_A375_6H:BRD-K80346834-001-01-5:10,BRD-K80346834,BRD-K80346834-001-01-5,0.1
CPC017_SKB_24H:BRD-A20968261-001-01-3:10,WAY-213613,BRD-A20968261-001-01-3,0.1
CPC017_HEPG2_6H:BRD-K59469039-001-03-1:10,AG-879,BRD-K59469039-001-03-1,0.1
CPC006_A549_6H:BRD-K21672174-001-02-2:160,RO-28-1675,BRD-K21672174-001-02-2,0.1
CPC012_HCC515_6H:BRD-K56653679-001-01-2:10,MD-041,BRD-K56653679-001-01-2,0.1
CPC006_SW480_6H:BRD-K74148702-001-03-8:48,curcumin,BRD-K74148702-001-03-8,0.1
CPC013_MCF7_6H:BRD-K83336168-001-01-9:10,MD-040,BRD-K83336168-001-01-9,0.1
CPC014_A375_6H:BRD-U33728988-000-01-6:10,QL-X-138,BRD-U33728988-000-01-6,0.1
CPC005_A375_6H:BRD-K18518344-001-03-5:10,digitoxigenin,BRD-K18518344-001-03-5,0.1
CPC014_MCF7_6H:BRD-A26199074-003-02-0:10,calmidazolium,BRD-A26199074-003-02-0,0.1
CPC008_HCC515_6H:BRD-K10361096-001-04-6:10,BRD-K10361096,BRD-K10361096-001-04-6,0.1
CPC012_A375_6H:BRD-K10484463-001-06-6:10,BRD-K10484463,BRD-K10484463-001-06-6,0.1
CPC006_VCAP_24H:BRD-K78126613-001-16-0:10,menadione,BRD-K78126613-001-16-0,0.1
CPC006_HCC515_24H:BRD-K28907958-001-02-7:11.1,CD-437,BRD-K28907958-001-02-7,0.1
CPC010_HEPG2_6H:BRD-K23217072-001-02-7:10,BRD-K23217072,BRD-K23217072-001-02-7,0.1
CPC010_HCC515_6H:BRD-K93034159-001-20-9:10,cladribine,BRD-K93034159-001-20-9,0.1
CPC005_MCF7_6H:BRD-A45333398-001-01-7:10,periplocymarin,BRD-A45333398-001-01-7,0.1
CPC009_MCF7_24H:BRD-K55844427-019-01-5:10,BRD-K55844427,BRD-K55844427-019-01-5,0.1
CPC016_A375_6H:BRD-K08547377-003-03-2:10,irinotecan,BRD-K08547377-003-03-2,0.1
CPC004_MCF7_6H:BRD-A48237631-001-03-0:10,mitomycin-c,BRD-A48237631-001-03-0,0.1
LJP001_MCF10A_6H:BRD-K99252563-001-01-1:10,QL-XII-47,BRD-K99252563-001-01-1,0.1
CPC014_HT29_6H:BRD-A98283014-003-07-7:10,calmidazolium,BRD-A98283014-003-07-7,0.1
CPD003_MCF7_24H:BRD-K47832606-001-17-8:10,floxuridine,BRD-K47832606-001-17-8,0.1
CPC006_PC3_6H:BRD-K15409150-001-02-5:30,penfluridol,BRD-K15409150-001-02-5,0.1
CPC004_HT29_6H:BRD-A68930007-001-03-1:10,ouabain,BRD-A68930007-001-03-1,0.1
CPC016_HT29_6H:BRD-K35708212-331-03-1:10,ouabain,BRD-K35708212-331-03-1,0.1
CPC010_HT29_6H:BRD-K99633092-001-02-0:10,BRD-K99633092,BRD-K99633092-001-02-0,0.1
CPC013_MCF7_6H:BRD-K15600710-066-01-7:10,obatoclax,BRD-K15600710-066-01-7,0.1
CPC015_MCF7_6H:BRD-A34806832-001-02-7:10,proscillaridin,BRD-A34806832-001-02-7,0.1
CPC013_HEPG2_6H:BRD-A32214171-001-01-7:10,BRD-A32214171,BRD-A32214171-001-01-7,0.1
NMH001_NEU_6H:BRD-K26818574-305-02-7:10,BIX-01294,BRD-K26818574-305-02-7,0.1
CPC014_ASC_24H:BRD-A26002865-001-01-5:10,verrucarin-a,BRD-A26002865-001-01-5,0.1
CPC012_A375_6H:BRD-K07023879-001-01-6:10,BRD-K07023879,BRD-K07023879-001-01-6,0.1
CPC006_OV7_6H:BRD-K28296557-005-14-6:10,AKT-inhibitor-IV,BRD-K28296557-005-14-6,0.1
CPC014_HEPG2_6H:BRD-K81142122-001-15-8:10,STK-249718,BRD-K81142122-001-15-8,0.1
CPC004_HT29_6H:BRD-A34806832-001-02-7:10,proscillaridin,BRD-A34806832-001-02-7,0.1
CPC019_HCC515_6H:BRD-K91145395-001-02-7:10,prostratin,BRD-K91145395-001-02-7,0.1
CPC006_A549_6H:BRD-K43620258-001-01-6:80,CHEMBL-399379,BRD-K43620258-001-01-6,0.1
CPC017_A549_24H:BRD-A93236127-001-03-7:10,digitoxin,BRD-A93236127-001-03-7,0.1
CPC010_HT29_6H:BRD-A18725729-001-08-2:10,BRD-A18725729,BRD-A18725729-001-08-2,0.1
CPC017_A375_6H:BRD-A93236127-001-03-7:10,digitoxin,BRD-A93236127-001-03-7,0.1
CPC014_MCF7_6H:BRD-K81142122-001-15-8:10,STK-249718,BRD-K81142122-001-15-8,0.1
MUC.CP003_MCF7_6H:BRD-A52650764-001-01-0:0.3704,ingenol,BRD-A52650764-001-01-0,0.1
CPC012_MCF7_6H:BRD-A43155244-001-01-2:10,BRD-A43155244,BRD-A43155244-001-01-2,0.1
CPC017_HEPG2_6H:BRD-K05151076-001-01-8:10,ZK-164015,BRD-K05151076-001-01-8,0.1
CPC006_HCC15_6H:BRD-A52650764-001-01-0:10,ingenol,BRD-A52650764-001-01-0,0.1
CPC017_HT29_6H:BRD-A94756469-001-03-9:10,digoxin,BRD-A94756469-001-03-9,0.1
CPC015_A549_24H:BRD-A68930007-001-03-1:10,ouabain,BRD-A68930007-001-03-1,0.1
CPC015_HEPG2_6H:BRD-K15409150-001-01-7:10,penfluridol,BRD-K15409150-001-01-7,0.1
